NOM,TYPE,GROUPE DE RESSOURCES,EMPLACEMENT,ABONNEMENT
"cisaciswcdev","Compte Automation","ManagementDev","West Europe","CISAC"
"cisaciswcdevautomation","Compte de stockage","ManagementDev","West Europe","CISAC"
"cisaciswcjobsdev","Compte de stockage","ISWCDev","West Europe","CISAC"
"cisaciswcjobsdev","Application de fonction","ISWCDev","West Europe","CISAC"
"cisaciswcjobsdev","Application Insights","ISWCDev","West Europe","CISAC"
"cisaciswcjobsprod","Compte de stockage","ISWCProd","West Europe","CISAC"
"cisaciswcjobsprod","Application de fonction","ISWCProd","West Europe","CISAC"
"cisaciswcjobsprod","Application Insights","ISWCProd","West Europe","CISAC"
"cisaciswcjobsprod-IPI Scheduled Sync Failure","Règle d’alerte de recherche dans les journaux","ManagementProd","West Europe","CISAC"
"cisaciswcjobsuat","Compte de stockage","ISWCUAT","West Europe","CISAC"
"cisaciswcjobsuat","Application de fonction","ISWCUAT","West Europe","CISAC"
"cisaciswcjobsuat","Application Insights","ISWCUAT","West Europe","CISAC"
"cisaciswcportaldev","App Service","ISWCDev","West Europe","CISAC"
"cisaciswcportaldev","Application Insights","ISWCDev","West Europe","CISAC"
"cisaciswcportalprod","App Service","ISWCProd","West Europe","CISAC"
"cisaciswcportalprod","Application Insights","ISWCProd","West Europe","CISAC"
"cisaciswcportaluat","App Service","ISWCUAT","West Europe","CISAC"
"cisaciswcportaluat","Application Insights","ISWCUAT","West Europe","CISAC"
"cisaciswcprod","Service Gestion des API","ISWCProd","West Europe","CISAC"
"cisaciswcprod","Data Factory (V2)","ISWCProd","West Europe","CISAC"
"cisaciswcprod","Azure Cosmos DB account","ISWCProd","West Europe","CISAC"
"cisaciswcprod","Coffre de clés","ISWCProd","West Europe","CISAC"
"cisaciswcprod","Application Insights","ISWCProd","West Europe","CISAC"
"cisaciswcprod","Compte Automation","ManagementProd","West Europe","CISAC"
"cisaciswcprod","Coffre Recovery Services","ManagementProd","West Europe","CISAC"
"cisaciswcprod - EDI failures","Règle d’alerte de recherche dans les journaux","ManagementProd","West Europe","CISAC"
"cisaciswcprod - REST API Errors","Règle d’alerte de recherche dans les journaux","ManagementProd","West Europe","CISAC"
"cisaciswcprod-APIManagement Failures","Règle d’alerte de recherche dans les journaux","ManagementProd","West Europe","CISAC"
"cisaciswcprodautomation","Compte de stockage","ManagementProd","West Europe","CISAC"
"cisaciswcpublicdev","App Service","ISWCDev","West Europe","CISAC"
"cisaciswcpublicdev","Application Insights","ISWCDev","West Europe","CISAC"
"cisaciswcpublicprod","App Service","ISWCProd","West Europe","CISAC"
"cisaciswcpublicprod","Application Insights","ISWCProd","West Europe","CISAC"
"cisaciswcpublicuat","App Service","ISWCUAT","West Europe","CISAC"
"cisaciswcpublicuat","Application Insights","ISWCUAT","West Europe","CISAC"
"cisaciswcsftpadmindev","Coffre de clés","ISWCDev","West Europe","CISAC"
"cisaciswcsftpadminprod","Coffre de clés","ISWCProd","West Europe","CISAC"
"cisaciswcsftpadminuat","Coffre de clés","ISWCUAT","West Europe","CISAC"
"cisaciswcsftpdev","Compte de stockage","ISWCDev","West Europe","CISAC"
"cisaciswcsftpprod","Compte de stockage","ISWCProd","West Europe","CISAC"
"cisaciswcsftpuat","Compte de stockage","ISWCUAT","West Europe","CISAC"
"cisaciswcsftpuserdev","Coffre de clés","ISWCDev","West Europe","CISAC"
"cisaciswcsftpuserprod","Coffre de clés","ISWCProd","West Europe","CISAC"
"cisaciswcsftpuseruat","Coffre de clés","ISWCUAT","West Europe","CISAC"
"cisaciswcuat","Service Gestion des API","ISWCUAT","West Europe","CISAC"
"cisaciswcuat","Data Factory (V2)","ISWCUAT","West Europe","CISAC"
"cisaciswcuat","Azure Cosmos DB account","ISWCUAT","West Europe","CISAC"
"cisaciswcuat","Coffre de clés","ISWCUAT","West Europe","CISAC"
"cisaciswcuat","Application Insights","ISWCUAT","West Europe","CISAC"
"cisaciswcuat","Compte Automation","ManagementUAT","West Europe","CISAC"
"cisaciswcuat-cisaciswcapidev","Availability test","ISWCDev","West Europe","CISAC"
"cisaciswcuatautomation","Compte de stockage","ManagementUAT","West Europe","CISAC"
"cisaciswcwedev","Serveur SQL","ISWCDev","West Europe","CISAC"
"cisaciswcweprod","Serveur SQL","ISWCProd","West Europe","CISAC"
"cisaciswcweuat","Serveur SQL","ISWCUAT","West Europe","CISAC"
"CISACProd","Réseau virtuel","CoreProd","West Europe","CISAC"
"cisacprod","Coffre de clés","ManagementProd","West Europe","CISAC"
"CISACUAT","Réseau virtuel","CoreUAT","West Europe","CISAC"
"cisacuat","Coffre de clés","ManagementUAT","West Europe","CISAC"
"d1c643a8-e6fc-4b21-b918-ddd7371c13e2-dashboard","Tableau de bord partagé","ISWCDev","West Europe","CISAC"
"d4bc2ab57a704bd2a8715d7aaa92deaa","Machine virtuelle","ISWCDatabricksProd","West Europe","CISAC"
"d4bc2ab57a704bd2a8715d7aaa92deaa-containerRootVolume","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"d4bc2ab57a704bd2a8715d7aaa92deaa-osDisk","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"d4bc2ab57a704bd2a8715d7aaa92deaa-privateNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"d4bc2ab57a704bd2a8715d7aaa92deaa-publicIP","Adresse IP publique","ISWCDatabricksProd","West Europe","CISAC"
"d4bc2ab57a704bd2a8715d7aaa92deaa-publicNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"dbmanagedidentity","Identité managée","ISWCDatabricksDev","West Europe","CISAC"
"dbmanagedidentity","Identité managée","ISWCDatabricksProd","West Europe","CISAC"
"dbmanagedidentity","Identité managée","ISWCDatabricksUAT","West Europe","CISAC"
"dbstorage7gfy2dooo4lw2","Compte de stockage","ISWCDatabricksProd","West Europe","CISAC"
"dbstorageiblnramgsqgyw","Compte de stockage","ISWCDatabricksUAT","West Europe","CISAC"
"dbstoragenl5sveqhpn3kq","Compte de stockage","ISWCDatabricksDev","West Europe","CISAC"
"e72e9c48e32542d5b83ea9c799cb5160","Machine virtuelle","ISWCDatabricksProd","West Europe","CISAC"
"e72e9c48e32542d5b83ea9c799cb5160-containerRootVolume","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"e72e9c48e32542d5b83ea9c799cb5160-osDisk","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"e72e9c48e32542d5b83ea9c799cb5160-privateNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"e72e9c48e32542d5b83ea9c799cb5160-publicIP","Adresse IP publique","ISWCDatabricksProd","West Europe","CISAC"
"e72e9c48e32542d5b83ea9c799cb5160-publicNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"eaff7c3c506a4b359d6c28e267bb541e","Machine virtuelle","ISWCDatabricksUAT","West Europe","CISAC"
"eaff7c3c506a4b359d6c28e267bb541e-containerRootVolume","Disque","ISWCDATABRICKSUAT","West Europe","CISAC"
"eaff7c3c506a4b359d6c28e267bb541e-osDisk","Disque","ISWCDATABRICKSUAT","West Europe","CISAC"
"eaff7c3c506a4b359d6c28e267bb541e-privateNIC","Interface réseau","ISWCDatabricksUAT","West Europe","CISAC"
"eaff7c3c506a4b359d6c28e267bb541e-publicIP","Adresse IP publique","ISWCDatabricksUAT","West Europe","CISAC"
"eaff7c3c506a4b359d6c28e267bb541e-publicNIC","Interface réseau","ISWCDatabricksUAT","West Europe","CISAC"
"f1cc2358-16d6-4464-ab1f-a6c4839889f9-dashboard","Tableau de bord partagé","ISWCProd","West Europe","CISAC"
"f1dde0d2-e6af-4da3-88d1-07ecb06f1241","Azure Workbook","ISWCDev","West Europe","CISAC"
"Failure Anomalies - cisaciswcapidev","règle d’alerte de détecteur intelligent","ISWCDev","Global","CISAC"
"Failure Anomalies - cisaciswcapilabeldev","règle d’alerte de détecteur intelligent","ISWCDev","Global","CISAC"
"Failure Anomalies - cisaciswcapilabelprod","règle d’alerte de détecteur intelligent","ISWCProd","Global","CISAC"
"Failure Anomalies - cisaciswcapilabeluat","règle d’alerte de détecteur intelligent","ISWCUAT","Global","CISAC"
"Failure Anomalies - cisaciswcapiprod","règle d’alerte de détecteur intelligent","ISWCProd","Global","CISAC"
"Failure Anomalies - cisaciswcapipublisherdev","règle d’alerte de détecteur intelligent","ISWCDev","Global","CISAC"
"Failure Anomalies - cisaciswcapipublisherprod","règle d’alerte de détecteur intelligent","ISWCProd","Global","CISAC"
"Failure Anomalies - cisaciswcapipublisheruat","règle d’alerte de détecteur intelligent","ISWCUAT","Global","CISAC"
"Failure Anomalies - cisaciswcapithirdpartydev","règle d’alerte de détecteur intelligent","ISWCDev","Global","CISAC"
"Failure Anomalies - cisaciswcapithirdpartyprod","règle d’alerte de détecteur intelligent","ISWCProd","Global","CISAC"
"Failure Anomalies - cisaciswcapithirdpartyuat","règle d’alerte de détecteur intelligent","ISWCUAT","Global","CISAC"
"Failure Anomalies - cisaciswcapiuat","règle d’alerte de détecteur intelligent","ISWCUAT","Global","CISAC"
"Failure Anomalies - cisaciswcdev","règle d’alerte de détecteur intelligent","ISWCDev","Global","CISAC"
"Failure Anomalies - cisaciswcjobsdev","règle d’alerte de détecteur intelligent","ISWCDev","Global","CISAC"
"Failure Anomalies - cisaciswcjobsprod","règle d’alerte de détecteur intelligent","ISWCProd","Global","CISAC"
"Failure Anomalies - cisaciswcjobsuat","règle d’alerte de détecteur intelligent","ISWCUAT","Global","CISAC"
"Failure Anomalies - cisaciswcportaldev","règle d’alerte de détecteur intelligent","ISWCDev","Global","CISAC"
"Failure Anomalies - cisaciswcportalprod","règle d’alerte de détecteur intelligent","ISWCProd","Global","CISAC"
"Failure Anomalies - cisaciswcportaluat","règle d’alerte de détecteur intelligent","ISWCUAT","Global","CISAC"
"Failure Anomalies - cisaciswcprod","règle d’alerte de détecteur intelligent","ISWCProd","Global","CISAC"
"Failure Anomalies - cisaciswcpublicdev","règle d’alerte de détecteur intelligent","ISWCDev","Global","CISAC"
"Failure Anomalies - cisaciswcpublicprod","règle d’alerte de détecteur intelligent","ISWCProd","Global","CISAC"
"Failure Anomalies - cisaciswcpublicuat","règle d’alerte de détecteur intelligent","ISWCUAT","Global","CISAC"
"Failure Anomalies - cisaciswcuat","règle d’alerte de détecteur intelligent","ISWCUAT","Global","CISAC"
"Failure Anomalies - cisacspmedev","règle d’alerte de détecteur intelligent","ISWCDev","Global","CISAC"
"Failure Anomalies - cisacspmeuat","règle d’alerte de détecteur intelligent","ISWCUAT","Global","CISAC"
"Failure Anomalies - ISWCDev","règle d’alerte de détecteur intelligent","ISWCDev","Global","CISAC"
"Failure Anomalies - ISWCProd","règle d’alerte de détecteur intelligent","ISWCProd","Global","CISAC"
"Failure Anomalies - ISWCUAT","règle d’alerte de détecteur intelligent","ISWCUAT","Global","CISAC"
"fc9089d2537745088b79e1b8d5b1098b","Machine virtuelle","ISWCDatabricksProd","West Europe","CISAC"
"fc9089d2537745088b79e1b8d5b1098b-containerRootVolume","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"fc9089d2537745088b79e1b8d5b1098b-osDisk","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"fc9089d2537745088b79e1b8d5b1098b-privateNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"fc9089d2537745088b79e1b8d5b1098b-publicIP","Adresse IP publique","ISWCDatabricksProd","West Europe","CISAC"
"fc9089d2537745088b79e1b8d5b1098b-publicNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"Health Check","Groupe d’actions","ManagementProd","Global","CISAC"
"Health Check - CISACAzPSFTP - Virtual Machine - CPU Credits","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - CISACAzPSFTP - Virtual Machine - Percentage CPU","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcapiprod - App Service - Handle Count","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcapiprod - App Service - Response Time","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcjobsprod - App Service - Handle Count","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcjobsprod - App Service - Response Time","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcportalprod - App Service - Handle Count","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcportalprod - App Service - Response Time","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcprod - API Management Service - Capacity","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcprod - CosmosDB - RU Consumption","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcpublicprod - App Service - Handle Count","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcpublicprod - App Service - Response Time","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWC - SQLDB - CPUPercentage","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWC - SQLDB - Data IO","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWC - SQLDB - Data Space Used","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWC - SQLDB - Deadlock","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWC - SQLDB - Failed Connections","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWC - SQLDB - Log IO","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWCProd - App Plan - CPU Percentage","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWCProd - App Plan - Memory Percentage","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"ISWC","Base de données SQL","ISWCDev","West Europe","CISAC"
"ISWC","Base de données SQL","ISWCProd","West Europe","CISAC"
"ISWC","Base de données SQL","ISWCUAT","West Europe","CISAC"
"ISWCDev","Service Azure Databricks","ISWCDev","West Europe","CISAC"
"ISWCDev","Plan App Service","ISWCDev","West Europe","CISAC"
"ISWCDev","Application Insights","ISWCDev","West Europe","CISAC"
"ISWCProd","Service Azure Databricks","ISWCProd","West Europe","CISAC"
"ISWCProd","Plan App Service","ISWCProd","West Europe","CISAC"
"ISWCProd","Application Insights","ISWCProd","West Europe","CISAC"
"ISWCUAT","Service Azure Databricks","ISWCUAT","West Europe","CISAC"
"ISWCUAT","Plan App Service","ISWCUAT","West Europe","CISAC"
"ISWCUAT","Application Insights","ISWCUAT","West Europe","CISAC"
"Migration_AG1","Groupe d’actions","ISWCUAT","Global","CISAC"
"Migration_AG2","Groupe d’actions","ISWCUAT","Global","CISAC"
"root-cisaciswcapiprod","Règle d’alerte de métrique","ISWCProd","Global","CISAC"
"root-cisaciswcapiprod","Availability test","ISWCProd","West Europe","CISAC"
"ScaleAppServicePlan","Runbook","ManagementDev","West Europe","CISAC"
"ScaleAppServicePlan","Runbook","ManagementProd","West Europe","CISAC"
"ScaleAppServicePlan","Runbook","ManagementUAT","West Europe","CISAC"
"ScaleCosmoDB","Runbook","ManagementDev","West Europe","CISAC"
"ScaleCosmoDB","Runbook","ManagementProd","West Europe","CISAC"
"ScaleCosmoDB","Runbook","ManagementUAT","West Europe","CISAC"
"spanish point support","Groupe d’actions","ISWCProd","Global","CISAC"
"StartVM","Runbook","ManagementDev","West Europe","CISAC"
"StartVM","Runbook","ManagementProd","West Europe","CISAC"
"StartVM","Runbook","ManagementUAT","West Europe","CISAC"
"StopVM","Runbook","ManagementDev","West Europe","CISAC"
"StopVM","Runbook","ManagementProd","West Europe","CISAC"
"StopVM","Runbook","ManagementUAT","West Europe","CISAC"
"workers-sg","Groupe de sécurité réseau","ISWCDatabricksDev","West Europe","CISAC"
"workers-sg","Groupe de sécurité réseau","ISWCDatabricksProd","West Europe","CISAC"
"workers-sg","Groupe de sécurité réseau","ISWCDatabricksUAT","West Europe","CISAC"
"workers-vnet","Réseau virtuel","ISWCDatabricksDev","West Europe","CISAC"
"workers-vnet","Réseau virtuel","ISWCDatabricksProd","West Europe","CISAC"
"workers-vnet","Réseau virtuel","ISWCDatabricksUAT","West Europe","CISAC"